id,text
0,"This ensures that the core controllers do not require special handling for each airframe geometry, and greatly improves reusability.  
In addition, PX4 abstracts the mapping of output functions to specific hardware outputs.
This means that any motor or servo can be assigned to almost any physical output. ![Mixing Overview](../../assets/diagrams/mixing_overview.png)"
1,"Overview of the mixing pipeline in terms of modules and uORB topics (press to show full-screen): ![Pipeline Overview](../../assets/concepts/control_allocation_pipeline.png)  
Notes:  
- The rate controller outputs torque and thrust setpoints
- the `control_allocator` module:
- handles different geometries based on configuration parameters
- does the mixing
- handles motor failures
- publishes the motor and servo control signals
- publishes the servo trims separately so they can be added as an offset when [testing actuators](../config/actuators.md#actuator-testing) (using the test sliders).
- the output drivers:
- handle the hardware initialization and update
- use a shared library [src/libs/mixer_module](https://github.com/PX4/PX4-Autopilot/blob/release/1.15/src/lib/mixer_module/).
The driver defines a parameter prefix, e.g. `PWM_MAIN` that the library then uses for configuration."
2,"Its main task is to select from the input topics and assign the right data to the outputs based on the user set ` _FUNCx` parameter values.
For example if `PWM_MAIN_FUNC3` is set to **Motor 2**, the 3rd output is set to the 2nd motor from `actuator_motors`.
- output functions are defined under [src/lib/mixer_module/output_functions.yaml](https://github.com/PX4/PX4-Autopilot/blob/release/1.15/src/lib/mixer_module/output_functions.yaml).
- if you want to control an output from MAVLink, set the relevant output function to **Offboard Actuator Set x**, and then send the [MAV_CMD_DO_SET_ACTUATOR](https://mavlink.io/en/messages/common.html#MAV_CMD_DO_SET_ACTUATOR) MAVLink command."
3,"The broad geometry and default parameters for a vehicle are set (from the frame configuration file) when selecting the airframe in QGroundControl: [Basic Configuration > Airframe](../config/airframe.md).  
The geometry parameters and output mapping for the specific frame and flight controller hardware are then configured using the QGroundControl **Actuators** setup screen: [Basic Configuration > Actuator Configuration and Testing](../config/actuators.md)."
4,"_Flight Modes_ define how the autopilot responds to user input and controls vehicle movement.
They are loosely grouped into _manual_, _assisted_ and _auto_ modes, based on the level/type of control provided by the autopilot.
The pilot transitions between flight modes using switches on the remote control or with a ground control station.  
Not all flight modes are available on all vehicle types, and some modes behave differently on different vehicle types (as described below).
Finally, some flight modes make sense only under specific pre-flight and in-flight conditions (e.g. GPS lock).
The system will not allow transitions to those modes until the right conditions are met.  
The sections below provide an overview of the modes, followed by a [flight mode evaluation diagram](#flight-mode-evaluation-diagram) that shows the conditions under which PX4 will transition into a new mode.  
::: info
User-facing flight mode documentation can be found in:"
5,"- [Flight Modes (Multicopter)](../flight_modes_mc/index.md)
- [Flight Modes (Fixed-Wing)](../flight_modes_fw/index.md)
- [Flight Modes (VTOL)](../flight_modes_vtol/index.md)
- [Flight/Drive Modes (Rover)](../flight_modes_rover/index.md)  
:::"
6,"""Manual"" modes are those where the user has direct control over the vehicle via the RC control (or joystick).
Vehicle movement always follows stick movement, but the level/type of response changes depending on the mode.
For example, experienced fliers can use modes that provide direct passthrough of stick positions to actuators, while beginners will often choose modes that are less responsive to sudden stick-position changes.  
- **Rovers / Boats:**  
- **MANUAL/STABILIZED/ACRO:** The pilot's control inputs (raw user inputs from RC transmitter) are passed directly to control allocation.  
- **Fixed-wing aircraft:**  
- **MANUAL:** The pilot's control inputs (raw user inputs from RC transmitter) are passed directly to control allocation.
- **STABILIZED:** The pilot's pitch and roll inputs are passed as angle commands to the autopilot, while the yaw input is sent directly via control allocation to the rudder (manual control)."
7,"If the RC roll and pitch sticks are centered, the autopilot regulates the roll and pitch angles to zero, hence stabilizing (leveling-out) the attitude against any wind disturbances.
However, in this mode the position of the aircraft is not controlled by the autopilot, hence the position can drift due to wind.
With nonzero roll input the vehicle does a coordinated turn to achieve zero sideslip (the acceleration in y-direction (sidewards) is zero).
During a coordinated turn, the rudder is used to control the sideslip and any manual yaw input is added to that.
- **ACRO:** The pilot's inputs are passed as roll, pitch, and yaw _rate_ commands to the autopilot.
The autopilot controls the angular rates.
Throttle is passed directly to control allocation.  
- **Multirotors:**  
- **MANUAL/STABILIZED** The pilot's inputs are passed as roll and pitch _angle_ commands and a yaw _rate_ command.
Throttle is passed directly to control allocation."
8,"The autopilot controls the attitude, meaning it regulates the roll and pitch angles to zero when the RC sticks are centered, consequently leveling-out the attitude.
However, in this mode the position of the vehicle is not controlled by the autopilot, hence the position can drift due to wind.  
::: info
For Multirotors, Manual and Stabilized modes are the same.
:::  
- **ACRO:** The pilot's inputs are passed as roll, pitch, and yaw _rate_ commands to the autopilot.
The autopilot controls the angular rates, but not the attitude.
Hence, if the RC sticks are centered the vehicle will not level-out.
This allows the multirotor to become completely inverted.
Throttle is passed directly to control allocation."
9,"""Assisted"" modes are also user controlled but offer some level of ""automatic"" assistance - for example, automatically holding position/direction, against wind.
Assisted modes often make it much easier to gain or restore controlled flight.  
- **ALTCTL** (Altitude Control)  
- **Fixed-wing aircraft:** When the roll, pitch and yaw (RPY) RC sticks are all centered (or less than some specified deadband range) the aircraft will return to straight and level flight and keep its current altitude.
Its x and y position will drift with the wind.
- **Multirotors:** Roll, pitch and yaw inputs are as in Stabilised mode.
Throttle inputs indicate climb or sink at a predetermined maximum rate.
Throttle has large deadzone.
Centered Throttle holds altitude steady.
The autopilot only controls altitude so the x,y position of the vehicle can drift due to wind.  
- **POSCTL** (Position Control)"
10,"- **Fixed-wing aircraft:** Neutral inputs (centered RC sticks) give level flight and it will crab against the wind if needed to maintain a straight line.
- **Multirotors** Roll controls left-right speed, pitch controls front-back speed over ground.
Yaw controls yaw rate as in MANUAL mode.
Throttle controls climb/descent rate as in ALTCTL mode.
This means that the x, y, z position of the vehicle is held steady by the autopilot against any wind disturbances, when the roll, pitch and throttle sticks are centered."
11,"""Auto"" modes are those where the controller requires little to no user input (e.g. to takeoff, land and fly missions).  
- **AUTO_LOITER** (Loiter)  
- **Fixed-wing aircraft:** The aircraft loiters around the current position at the current altitude (or possibly slightly above the current altitude, good for 'I'm losing it').
- **Multirotors:** The multirotor hovers / loiters at the current position and altitude.  
- **AUTO_RTL** (Return to Launch)  
- **Fixed-wing aircraft:** The aircraft returns to the home position and loiters in a circle above the home position."
12,"- **Multirotors:** The multirotor returns in a straight line on the current altitude (if the current altitude is higher than the home position + [RTL_RETURN_ALT](../advanced_config/parameter_reference.md#RTL_RETURN_ALT)) or on the [RTL_RETURN_ALT](../advanced_config/parameter_reference.md#RTL_RETURN_ALT) (if the [RTL_RETURN_ALT](../advanced_config/parameter_reference.md#RTL_RETURN_ALT) is higher than the current altitude), then lands automatically.  
- **AUTO_MISSION** (Mission)
- **All system types:** The aircraft obeys the programmed mission sent by the ground control station (GCS).
If no mission received, aircraft will LOITER at current position instead.
- **_OFFBOARD_** (Offboard)
In this mode the position, velocity or attitude reference / target / setpoint is provided by a companion computer connected via serial cable and MAVLink.
The offboard setpoint can be provided by APIs like [MAVSDK](http://mavsdk.mavlink.io) or [MAVROS](https://github.com/mavlink/mavros)."
13,![Commander Flow diagram](../../assets/diagrams/commander-flow-diagram.png)
14,"The`PWM_limit State Machine` controls PWM outputs as a function of pre-armed and armed inputs.
Provides a delay between assertion of ""armed"" and a ramp-up of throttle on assertion of the armed signal."
15,"**Inputs**  
- armed: asserted to enable dangerous behaviors such as spinning propellers
- pre-armed: asserted to enable benign behaviors such as moving control surfaces
- this input overrides the current state
- assertion of pre-armed immediately forces behavior of state ON, regardless of current state
- deassertion of pre-armed reverts behavior to current state  
**States**  
- INIT and OFF
- pwm outputs set to disarmed values.
- RAMP
- pwm outputs ramp from disarmed values to min values.
- ON
- pwm outputs set according to control values."
16,![PWM Limit state machine diagram](../../assets/diagrams/pwm_limit_state_diagram.svg)
17,"_Flight Tasks_ are used within [Flight Modes](../concept/flight_modes.md) to provide specific movement behaviours: e.g. follow me, or flight smoothing."
18,"A flight task is a class in the flight task framework derived from the base class [FlightTask](https://github.com/PX4/PX4-Autopilot/blob/release/1.15/src/modules/flight_mode_manager/tasks/FlightTask/FlightTask.hpp). Its goal is to generate setpoints for the controller from arbitrary input data, where each task implements the desired vehicle behavior for a specific mode.
Programmers typically override the `activate()` and `update()` virtual methods by calling the base task's minimal implementation and extending with the implementation of the desired behavior.
The `activate()` method is called when switching to the task and allows to initialize its state and take over gently from the passed over setpoints the previous task was just applying.  
`update()` is called on every loop iteration during the execution and contains the core behavior implementation producing setpoints."
19,"By convention tasks are contained in a subfolder of [PX4-Autopilot/src/modules/flight_mode_manager/tasks](https://github.com/PX4/PX4-Autopilot/tree/release/1.15/src/modules/flight_mode_manager/tasks) named after the task, and the source files are named with the prefix ""FlightTask"".  
::: info
Video overviews from PX4 developer summits are [provided below](#video).
:::"
20,"PX4 behaviour can be configured/tuned using [parameters](../advanced_config/parameter_reference.md) (e.g. [Multicopter PID gains](../config_mc/pid_tuning_guide_multicopter.md), calibration information, etc.).  
The _QGroundControl Parameters_ screen allows you to find and modify **any** of the parameters associated with the vehicle.
The screen is accessed by clicking the **Q** application icon > **Vehicle Setup**, and then _Parameters_ in the sidebar.  
::: info
Most of the more commonly used parameters are more conveniently set using the dedicated setup screens, as described in the [Standard Configuration](../config/index.md) section.
The _Parameters_ screen is needed when modifying less commonly modified parameters - for example while tuning a new vehicle.
:::  
:::warning
While some parameters can be changed in flight, this is not recommended (except where explicitly stated in the guide).
:::"
21,"You can search for a parameter by entering a term in the _Search_ field.
This will show you a list of all parameter names and descriptions that contain the entered substring (press **Clear** to reset the search, and use the **Show modified only** checkbox to filter out unchanged parameters).  
![Parameters Search](../../assets/qgc/setup/parameters/parameters_search.png)  
You can also browse the parameters by type and group by clicking on the buttons to the left (in the image below the _DShot_ group in the _Standard_ parameters is selected).  
![Parameters Screen](../../assets/qgc/setup/parameters/parameters_px4.png)  
You can expand/collapse the ""type"" groupings as shown.
Note that the groups at the bottom named _Component X_ are attached [DroneCAN peripherals](../dronecan/index.md#qgc-cannode-parameter-configuration) (""X"" is the node id)."
22,"[QGC can set the parameters](../dronecan/index.md#qgc-cannode-parameter-configuration) of these peripherals if they are attached to the Flight Controller when QGC is started.  
![Parameters Types - collapsed](../../assets/qgc/setup/parameters/parameters_types.png)  
:::tip
If you can't find an expected parameter, see the [next section](#missing).
:::"
23,"Parameters are usually not visible because either they are conditional on other parameters, or they are not present in the firmware (see below)."
24,"A parameter may not be displayed if it is conditional on another parameter that is not enabled.  
You can usually find out what parameters are conditional by searching the [full parameter reference](../advanced_config/parameter_reference.md) and other documentation.
In particular [serial port configuration parameters](../peripherals/serial_configuration.md) depend on what service is assigned to a serial port."
25,"A parameter may not be present in the firmware because you're using a different version of PX4 or because you're using a build in which the associated module is not included.  
New parameters are added in each PX4 version, and existing parameters are sometimes removed or renamed.
You can check whether a parameter _should_ be present by reviewing the [full parameter reference](../advanced_config/parameter_reference.md) for the version you're targeting.
You can also search for the parameter in the source tree and in the release notes.  
The other reason that a parameter might not be in firmware is if its associated module has not been included.
This is a problem (in particular) for _FMUv2 firmware_, which omits many modules so that PX4 can fit into the 1MB of available flash.
There are two options to solve this problem:  
- Check if you can update your board to run FMUv3 firmware, which includes all modules: [Firmware > FMUv2 Bootloader Update](../config/firmware.md#bootloader)"
26,"- If your board can only run FMUv2 firmware you will need to [rebuild PX4](../dev_setup/building_px4.md) with the missing modules enabled.
You need reconfigure the PX4 firmware itself through make px4_fmuv2_default boardconfig where you can enabled/disable modules.  
::: info
You may also need to disable other modules in order to fit the rebuilt firmware into 1MB flash.
Finding modules to remove requires some trial/error and depends on what use cases you need the vehicle to meet.
:::"
27,"To change the value of a parameter click on the parameter row in a group or search list.
This will open a side dialog in which you can update the value (this dialog also provides additional detailed information about the parameter - including whether a reboot is required for the change to take effect).  
![Changing a parameter value](../../assets/qgc/setup/parameters/parameters_changing.png)  
::: info
When you click **Save** the parameter is automatically and silently uploaded to the connected vehicle.
Depending on the parameter, you may then need to reboot the flight controller for the change to take effect.
:::"
28,"You can select additional options from the **Tools** menu on the top right hand side of the screen.  
![Tools menu](../../assets/qgc/setup/parameters/parameters_tools_menu.png)  
**Refresh** Refresh the parameter values by re-requesting all of them from the vehicle.  
**Reset all to firmware defaults** Reset all parameters to their original default values in the firmware.  
**Reset to vehicle's configuration defaults** Reset all parameters to their original default values for the particular selected airfame configuration.  
**Load from file / Save to file** Load parameters from an existing file or save your current parameter settings to a file.  
**Clear all RC to Param** This clears all associations between RC transmitter controls and parameters.
For more information see: [Radio Setup > Param Tuning Channels](../config/radio.md#param-tuning-channels).  
**Reboot Vehicle** Reboot the vehicle (required after changing some parameters)."
29,"::: info
This documentation was auto-generated from the source code for this PX4 version (using `make parameters_metadata`).
:::  
::: tip
If a listed parameter is missing from the Firmware see: [Finding/Updating Parameters](../advanced_config/parameters.md#parameter-not-in-firmware).
:::"
30,"Name Description [Min, Max] (Incr.) Default Units"
31,"ctl_bw (INT32) Speed controller bandwidth Comment: Speed controller bandwidth, in Hz. Higher values result in faster speed and current rise times, but may result in overshoot and higher current consumption. For fixed-wing aircraft, this value should be less than 50 Hz; for multirotors, values up to 100 Hz may provide improvements in responsiveness. [10, 250] 75 Hz"
32,"ctl_dir (INT32) Reverse direction Comment: Motor spin direction as detected during initial enumeration. Use 0 or 1 to reverse direction. [0, 1] 1"
33,"ctl_gain (FLOAT) Speed (RPM) controller gain Comment: Speed (RPM) controller gain. Determines controller
aggressiveness; units are amp-seconds per radian. Systems with
higher rotational inertia (large props) will need gain increased;
systems with low rotational inertia (small props) may need gain
decreased. Higher values result in faster response, but may result
in oscillation and excessive overshoot. Lower values result in a
slower, smoother response. [0.00, 1.00] 1 C/rad"
34,"ctl_hz_idle (FLOAT) Idle speed (e Hz) Comment: Idle speed (e Hz) [0.0, 100.0] 3.5 Hz"
35,"ctl_start_rate (INT32) Spin-up rate (e Hz/s) Comment: Spin-up rate (e Hz/s) [5, 1000] 25 1/s^2"
36,"esc_index (INT32) Index of this ESC in throttle command messages. Comment: Index of this ESC in throttle command messages. [0, 15] 0"
37,"id_ext_status (INT32) Extended status ID Comment: Extended status ID [1, 1000000] 20034"
38,"int_ext_status (INT32) Extended status interval (µs) Comment: Extended status interval (µs) [0, 1000000] 50000 us"
39,"int_status (INT32) ESC status interval (µs) Comment: ESC status interval (µs) [?, 1000000] 50000 us"
